NAME,Fees,Students,Geo Point,Geo Shape,ADDRESS,CITY,STATE,POPULATION,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,PT_ENROLL,FT_ENROLL,TOT_ENROLL,HOUSING,DORM_CAP,TOT_EMP
NATIONAL UNIVERSITY OF NATURAL MEDICINE,33334.56171284635,12876.308080808081,"45.501930720000075, -122.67659950999996","{""coordinates"":[-122.67659950999996,45.501930720000075],""type"":""Point""}",49 S PORTER ST.,PORTLAND,OR,682.0,45.50193072000008,-122.67659950999996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",75.0,410.0,485.0,2.0,-999.0,197.0
NATURAL IMAGES BEAUTY COLLEGE,33334.56171284635,12876.308080808081,"29.02608, -95.400821","{""coordinates"":[-95.400821,29.02608],""type"":""Point""}",236 OLD ANGLETON ROAD,CLUTE,TX,50.0,29.02608,-95.400821,611519.0,OTHER TECHNICAL AND TRADE SCHOOLS,14.0,29.0,43.0,2.0,-999.0,7.0
NAUGATUCK VALLEY COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"41.54956403600005, -73.07120899899996","{""coordinates"":[-73.07120899899996,41.54956403600005],""type"":""Point""}",750 CHASE PARKWAY,WATERBURY,CT,5779.0,41.54956403600005,-73.07120899899996,611210.0,JUNIOR COLLEGES,3197.0,1886.0,5083.0,2.0,-999.0,696.0
NAVAJO TECHNICAL UNIVERSITY,33334.56171284635,12876.308080808081,"35.687412, -108.148058","{""coordinates"":[-108.148058,35.687412],""type"":""Point""}","LOWER POINT ROAD, STATE ROAD 371",CROWNPOINT,NM,1686.0,35.687412,-108.148058,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",801.0,549.0,1350.0,1.0,380.0,336.0
NAVAL POSTGRADUATE SCHOOL,33334.56171284635,12876.308080808081,"36.59715908900006, -121.87424761299997","{""coordinates"":[-121.87424761299997,36.59715908900006],""type"":""Point""}",1 UNIVERSITY CIRCLE,MONTEREY,CA,3784.0,36.59715908900006,-121.87424761299997,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1343.0,1523.0,2866.0,2.0,-999.0,918.0
NAVARRO COLLEGE,33334.56171284635,12876.308080808081,"32.076066171000036, -96.49873799699998","{""coordinates"":[-96.49873799699998,32.076066171000036],""type"":""Point""}",3200 W 7TH AVENUE,CORSICANA,TX,7781.0,32.07606617100004,-96.49873799699998,611210.0,JUNIOR COLLEGES,4559.0,2580.0,7139.0,1.0,861.0,642.0
NAZARENE BIBLE COLLEGE,33334.56171284635,12876.308080808081,"38.81670301100007, -104.75285433799996","{""coordinates"":[-104.75285433799996,38.81670301100007],""type"":""Point""}",1465 KELLY JOHNSON BLVD,COLORADO SPRINGS,CO,734.0,38.81670301100007,-104.75285433799996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",594.0,14.0,608.0,2.0,-999.0,126.0
NAZARENE THEOLOGICAL SEMINARY,33334.56171284635,12876.308080808081,"39.009265335000066, -94.56578060699997","{""coordinates"":[-94.56578060699997,39.009265335000066],""type"":""Point""}",1700 E MEYER BLVD,KANSAS CITY,MO,228.0,39.00926533500007,-94.56578060699997,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",102.0,58.0,160.0,1.0,35.0,68.0
NAZARETH COLLEGE,33334.56171284635,12876.308080808081,"43.101501805000055, -77.51652282299995","{""coordinates"":[-77.51652282299995,43.101501805000055],""type"":""Point""}",4245 EAST AVE,ROCHESTER,NY,3529.0,43.101501805000055,-77.51652282299995,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",341.0,2450.0,2791.0,1.0,1365.0,738.0
NEBRASKA CHRISTIAN COLLEGE OF HOPE INTERNATIONAL UNIVERSITY,33334.56171284635,12876.308080808081,"41.12314048800005, -96.09437042599995","{""coordinates"":[-96.09437042599995,41.12314048800005],""type"":""Point""}",12550 S. 114TH ST.,PAPILLION,NE,-999.0,41.12314048800005,-96.09437042599995,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",-999.0,-999.0,-999.0,-1.0,-999.0,-999.0
NEBRASKA COLLEGE OF TECHNICAL AGRICULTURE,33334.56171284635,12876.308080808081,"40.63545424300003, -100.51040924999995","{""coordinates"":[-100.51040924999995,40.63545424300003],""type"":""Point""}",404 EAST 7TH,CURTIS,NE,341.0,40.63545424300003,-100.51040924999997,611210.0,JUNIOR COLLEGES,63.0,219.0,282.0,1.0,220.0,59.0
NEBRASKA INDIAN COMMUNITY COLLEGE,33334.56171284635,12876.308080808081,"42.114561, -96.351705","{""coordinates"":[-96.351705,42.114561],""type"":""Point""}",1111 HWY 75,MACY,NE,297.0,42.114561,-96.351705,611210.0,JUNIOR COLLEGES,147.0,63.0,210.0,2.0,-999.0,87.0
NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH,33334.56171284635,12876.308080808081,"41.26597269400003, -96.04851052199996","{""coordinates"":[-96.04851052199996,41.26597269400003],""type"":""Point""}",720 NORTH 87TH STREET,OMAHA,NE,1364.0,41.26597269400003,-96.04851052199996,611310.0,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",358.0,854.0,1212.0,1.0,101.0,152.0
